gp_nr,mp_id,zpb,anlage,pv_label,label_source,pv_commissioning_date,has_meter,has_blank_pv_row,n_gigi_rows,pv_kwp,plz,ort,kanton
122506,97562,CH1011701234500000000000002098833,514437.0,1.0,gigi_pv,,True,False,1,,5622,Waltenschwil,AG
123159,64811,CH1011701234500000000000002092619,504633.0,1.0,gigi_pv,2018-03-22,True,True,2,,4310,Rheinfelden,AG
126001,163819,CH1011701234500000000000002128849,539177.0,1.0,gigi_pv,,True,False,1,,4312,Magden,AG
127293,126291,CH1011701234500000000000002132349,543778.0,1.0,gigi_pv,2024-08-09,True,False,1,,4313,Möhlin,AG
127600,120790,CH1011701234500000000000002121005,531036.0,1.0,gigi_pv,2022-12-14,True,False,2,,5235,Rüfenach AG,AG
129225,33116,CH1011701234500000000000002102599,518264.0,1.0,gigi_pv,2020-12-18,True,False,1,,5072,Oeschgen,AG
129447,79415,CH1011701234500000000000002121577,531613.0,1.0,gigi_pv,2023-04-11,True,True,2,,5072,Oeschgen,AG
129462,63907,CH1011701234500000000000002106776,522525.0,1.0,gigi_pv,,True,False,2,,5072,Oeschgen,AG
130747,102057,CH1011701234500000000000000507488,441116.0,,unlabeled,,True,True,1,,5622,Waltenschwil,AG
131436,154629,CH1011701234500000000000002120129,530150.0,1.0,gigi_pv,2022-02-09,True,False,1,,4313,Möhlin,AG
131436,124797,CH1011701234500000000000000601020,472301.0,1.0,gigi_pv,2022-02-09,True,False,1,,4313,Möhlin,AG
131447,,,,,unlabeled,,False,False,1,,5442,Fislisbach,AG
131732,,,,1.0,gigi_pv,2019-03-21,False,True,2,,4323,Wallbach,AG
131858,36513,CH1011701234500000000000000566576,361808.0,1.0,gigi_pv,2024-08-12,True,True,2,,5443,Niederrohrdorf,AG
13217,,,,1.0,gigi_pv,2024-03-20,False,False,1,,4324,Obermumpf,AG
132315,166580,CH1011701234500000000000002129471,539858.0,1.0,gigi_pv,2024-01-12,True,False,1,,4312,Magden,AG
132812,28930,CH1011701234500000000000000600194,471465.0,1.0,gigi_pv,,True,False,1,17.95,5726,Unterkulm,AG
133692,124214,CH1011701234500000000000002135112,547607.0,1.0,gigi_pv,2025-03-17,True,False,1,8.01,5608,Stetten AG,AG
133710,161473,CH1011701234500000000000002140941,554390.0,1.0,gigi_pv,2026-03-05,True,False,1,15.675,5726,Unterkulm,AG
134065,142407,CH1011701234500000000000002106073,521794.0,1.0,gigi_pv,2021-09-13,True,False,1,,5316,Leuggern,AG
134309,,,,1.0,gigi_pv,2023-02-22,False,False,1,,5312,Döttingen,AG
134586,36920,CH1011701234500000000000002100171,515800.0,1.0,gigi_pv,2020-06-16,True,False,1,,5726,Unterkulm,AG
134742,,,,,unlabeled,2019-12-13,False,False,1,,5070,Frick,AG
135287,160101,CH1011701234500000000000002097845,513206.0,1.0,gigi_pv,2019-10-15,True,False,2,,4333,Münchwilen AG,AG
135868,131292,CH1011701234500000000000002131198,542066.0,1.0,gigi_pv,2024-06-20,True,False,1,,4313,Möhlin,AG
136557,153288,CH1011701234500000000000002125575,535818.0,1.0,gigi_pv,2023-05-10,True,False,2,,4325,Schupfart,AG
137763,144176,CH1011701234500000000000002134849,547068.0,1.0,gigi_pv,2025-01-12,True,False,1,12.9,4313,Möhlin,AG
137898,169974,CH1011701234500000000000002103237,518907.0,1.0,gigi_pv,2021-02-02,True,False,1,,4315,Zuzgen,AG
138849,,,,1.0,gigi_pv,2024-01-09,False,True,2,22.1,5605,Dottikon,AG
142012,92041,CH1011701234500000000000000517822,386933.0,,unlabeled,2022-09-07,True,False,1,,5074,Eiken,AG
142682,121131,CH1011701234500000000000002132078,543052.0,1.0,gigi_pv,2024-10-08,True,False,1,13.7,4303,Kaiseraugst,AG
143397,156980,CH1011701234500000000000000606535,480001.0,1.0,gigi_pv,2024-07-30,True,False,1,,5620,Bremgarten AG,AG
143397,156990,CH1011701234500000000000000606545,480011.0,1.0,gigi_pv,2024-07-30,True,False,1,,5620,Bremgarten AG,AG
143397,156991,CH1011701234500000000000000606546,480012.0,1.0,gigi_pv,2024-07-30,True,False,1,,5620,Bremgarten AG,AG
143397,155244,CH1011701234500000000000002122697,532734.0,1.0,gigi_pv,2024-07-30,True,False,1,,5620,Bremgarten AG,AG
143397,155246,CH1011701234500000000000002122699,532736.0,1.0,gigi_pv,2024-07-30,True,False,1,,5620,Bremgarten AG,AG
143397,155247,CH1011701234500000000000002122700,532737.0,1.0,gigi_pv,2024-07-30,True,False,1,,5620,Bremgarten AG,AG
143397,142065,CH1011701234500000000000002122684,532721.0,1.0,gigi_pv,2024-07-30,True,False,1,,5620,Bremgarten AG,AG
143397,142066,CH1011701234500000000000002122685,532722.0,1.0,gigi_pv,2024-07-30,True,False,1,,5620,Bremgarten AG,AG
143664,,,,1.0,gigi_pv,2023-02-02,False,False,1,,4312,Magden,AG
143675,,,,,unlabeled,,False,False,1,,5236,Remigen,AG
144863,101174,CH1011701234500000000000002130799,541665.0,1.0,gigi_pv,2024-04-06,True,False,1,,5105,Auenstein,AG
145326,86955,CH1011701234500000000000002122230,532259.0,1.0,gigi_pv,2022-08-18,True,False,1,,5426,Lengnau AG,AG
145791,,,,1.0,gigi_pv,2022-03-14,False,False,1,,4332,Stein AG,AG
146018,146173,CH1011701234500000000000002126356,536620.0,1.0,gigi_pv,2023-07-07,True,False,1,,4324,Obermumpf,AG
146018,146161,CH1011701234500000000000000534739,364210.0,1.0,gigi_pv,2023-07-07,True,False,1,,4324,Obermumpf,AG
146018,146157,CH1011701234500000000000000504184,364215.0,1.0,gigi_pv,2023-07-07,True,False,1,,4324,Obermumpf,AG
146143,,,,1.0,gigi_pv,,False,False,1,,4323,Wallbach,AG
146807,69791,CH1011701234500000000000002123666,533720.0,1.0,gigi_pv,2023-01-10,True,False,1,,5106,Veltheim AG,AG
147864,,,,1.0,gigi_pv,2024-05-27,False,False,1,,4314,Zeiningen,AG
148105,,,,1.0,gigi_pv,2023-05-11,False,False,2,18.17,4314,Zeiningen,AG
148265,,,,1.0,gigi_pv,2025-06-10,False,False,1,21.6,4314,Zeiningen,AG
148705,,,,1.0,gigi_pv,2022-12-19,False,False,1,,4314,Zeiningen,AG
149072,,,,1.0,gigi_pv,,False,False,1,,5706,Boniswil,AG
149164,70028,CH1011701234500000000000002123784,533839.0,1.0,gigi_pv,2023-12-06,True,False,2,,5600,Ammerswil AG,AG
150401,126475,CH1011701234500000000000002102668,518333.0,1.0,gigi_pv,2021-01-14,True,False,1,,4313,Möhlin,AG
150951,115607,CH1011701234500000000000002124159,534234.0,1.0,gigi_pv,2023-11-13,True,False,1,,5506,Mägenwil,AG
150964,131301,CH1011701234500000000000002131950,542833.0,1.0,gigi_pv,2024-07-23,True,False,1,,5107,Schinznach Dorf,AG
151081,101299,CH1011701234500000000000002104889,520579.0,1.0,gigi_battery,,True,True,1,,4310,Rheinfelden,AG
151081,101298,CH1011701234500000000000002103702,519385.0,1.0,gigi_battery,,True,True,1,,4310,Rheinfelden,AG
151970,116783,CH1011701234500000000000002122091,532125.0,1.0,gigi_pv,2022-07-27,True,False,1,,5306,Tegerfelden,AG
152528,101195,CH1011701234500000000000002105728,521448.0,1.0,gigi_pv,2021-09-02,True,False,1,,5225,Bözberg,AG
152557,169451,CH1011701234500000000000002121016,531048.0,1.0,gigi_pv,2022-12-13,True,False,1,,5070,Frick,AG
153093,103631,CH1011701234500000000000000578370,415871.0,,unlabeled,2023-10-13,True,False,1,,5504,Othmarsingen,AG
153783,82232,CH1011701234500000000000002123021,533065.0,1.0,gigi_pv,2022-09-21,True,False,2,,5619,Uezwil,AG
155412,,,,1.0,gigi_pv,2023-06-29,False,True,2,,8967,Widen,AG
155497,126306,CH1011701234500000000000002131450,542320.0,1.0,gigi_pv,2024-07-26,True,False,2,26.1,5108,Oberflachs,AG
155734,,,,1.0,gigi_pv,2022-10-20,False,False,1,,5073,Gipf-Oberfrick,AG
156287,163477,CH1011701234500000000000002133141,544960.0,,unlabeled,2026-01-22,True,True,2,,5322,Koblenz,AG
157583,,,,1.0,gigi_pv,,False,False,1,20.16,5272,Gansingen,AG
157648,,,,1.0,gigi_pv,2020-02-07,False,False,2,,5272,Gansingen,AG
158544,88020,CH1011701234500000000000002104532,520218.0,1.0,gigi_pv,2021-04-30,True,False,1,,4310,Rheinfelden,AG
159181,,,,1.0,gigi_pv,2024-05-06,False,False,2,,4805,Brittnau,AG
159313,,,,1.0,gigi_pv,2024-03-20,False,False,2,,4805,Brittnau,AG
159508,,,,1.0,gigi_pv,2023-03-15,False,False,1,,4805,Brittnau,AG
160111,,,,,unlabeled,,False,False,1,,4805,Brittnau,AG
161857,149313,CH1011701234500000000000002128152,538447.0,1.0,gigi_pv,2024-01-29,True,False,1,,4324,Obermumpf,AG
162827,103833,CH1011701234500000000000002131217,542086.0,1.0,gigi_pv,2024-05-03,True,False,1,,5225,Bözberg,AG
162973,37546,CH1011701234500000000000002103368,519043.0,1.0,gigi_pv,2021-03-18,True,False,1,,5727,Oberkulm,AG
162973,38326,CH1011701234500000000000000597684,468707.0,1.0,gigi_pv,2021-03-18,True,False,1,,5727,Oberkulm,AG
162973,37545,CH1011701234500000000000000539646,410388.0,1.0,gigi_pv,2021-03-18,True,False,1,,5727,Oberkulm,AG
163954,109854,CH1011701234500000000000002121569,531605.0,1.0,gigi_pv,2022-04-04,True,False,1,,4322,Mumpf,AG
164222,65427,CH1011701234500000000000002120051,530057.0,1.0,gigi_pv,,True,False,2,,8962,Bergdietikon,AG
164237,102550,CH1011701234500000000000002131110,541976.0,1.0,gigi_pv,2024-08-20,True,True,2,,5622,Waltenschwil,AG
164237,111698,CH1011701234500000000000002131759,542642.0,1.0,gigi_pv,2024-08-20,True,True,2,,5622,Waltenschwil,AG
164491,120483,CH1011701234500000000000002134519,546542.0,1.0,gigi_pv,,True,False,1,8.36,5105,Auenstein,AG
165171,174336,CH1011701234500000000000002143348,556913.0,1.0,gigi_pv,2024-06-24,True,False,2,9.4,5506,Mägenwil,AG
165171,106348,CH1011701234500000000000000529305,453764.0,1.0,gigi_pv,2024-06-24,True,False,2,9.4,5506,Mägenwil,AG
165183,106365,CH1011701234500000000000002130036,540906.0,1.0,gigi_pv,2024-04-04,True,False,1,,5504,Othmarsingen,AG
165295,145883,CH1011701234500000000000000515499,405932.0,1.0,gigi_pv,,True,False,1,12.69,4313,Möhlin,AG
165585,174543,CH1011701234500000000000002143887,557467.0,1.0,gigi_pv,,True,False,1,14.55,5614,Sarmenstorf,AG
165585,169752,CH1011701234500000000000000554414,376976.0,1.0,gigi_pv,,True,False,1,14.55,5614,Sarmenstorf,AG
166661,,,,1.0,gigi_pv,2023-10-05,False,False,1,9.35,5626,Hermetschwil-Staffeln,AG
166831,131910,CH1011701234500000000000002131499,542371.0,1.0,gigi_pv,2024-06-11,True,False,1,,5725,Leutwil,AG
167357,,,,,unlabeled,2018-03-09,False,False,2,,5245,Habsburg,AG
167903,,,,1.0,gigi_pv,2024-05-29,False,False,1,,4332,Stein AG,AG
168512,,,,1.0,gigi_pv,2025-07-04,False,False,1,16.92,4314,Zeiningen,AG
16976,,,,1.0,gigi_pv,2022-04-19,False,False,1,,5432,Neuenhof,AG
171122,153488,CH1011701234500000000000002138723,551932.0,1.0,gigi_pv,,True,False,1,11.28,5745,Safenwil,AG
171901,95009,CH1011701234500000000000002106281,522010.0,1.0,gigi_pv,2021-12-01,True,False,1,,5304,Endingen,AG
174453,87853,CH1011701234500000000000002124142,534217.0,1.0,gigi_pv,2023-04-18,True,False,1,,5706,Boniswil,AG
175022,56236,CH1011701234500000000000002106151,521874.0,1.0,gigi_pv,,True,False,2,,5313,Klingnau,AG
175213,64806,CH1011701234500000000000002122702,532739.0,1.0,gigi_pv,,True,False,1,,5313,Klingnau,AG
175356,42987,CH1011701234500000000000002104605,520293.0,1.0,gigi_pv,2021-04-08,True,False,1,,5313,Klingnau,AG
175514,97794,CH1011701234500000000000002129504,539892.0,1.0,gigi_pv,2024-07-02,True,False,1,,5313,Klingnau,AG
175560,159232,CH1011701234500000000000002140577,553971.0,1.0,gigi_pv,,True,False,1,,5313,Klingnau,AG
176260,,,,1.0,gigi_pv,2023-09-21,False,True,2,,5452,Oberrohrdorf,AG
176306,131321,CH1011701234500000000000002132904,544332.0,1.0,gigi_pv,2024-11-28,True,False,1,26.66,5707,Seengen,AG
176630,,,,1.0,gigi_battery,2019-09-26,False,False,1,,5621,Zufikon,AG
176765,,,,1.0,gigi_pv,2024-07-30,False,False,1,,5621,Zufikon,AG
177379,157358,CH1011701234500000000000002139768,553123.0,1.0,gigi_pv,,True,False,1,12.6,5312,Döttingen,AG
177528,,,,,unlabeled,,False,True,1,,5621,Zufikon,AG
178475,,,,1.0,gigi_pv,,False,False,1,,5621,Zufikon,AG
178529,,,,1.0,gigi_pv,2022-07-06,False,False,2,,5621,Zufikon,AG
179215,150900,CH1011701234500000000000002127783,538068.0,1.0,gigi_pv,2023-09-01,True,False,1,,5607,Hägglingen,AG
180092,,,,,unlabeled,2020-12-04,False,False,1,,5630,Muri AG,AG
181978,,,,1.0,gigi_pv,2022-09-22,False,False,2,,4323,Wallbach,AG
182712,,,,1.0,gigi_pv,2024-12-06,False,False,2,,8967,Widen,AG
183539,,,,1.0,gigi_pv,2023-05-03,False,False,2,,4323,Wallbach,AG
184136,,,,,unlabeled,2020-06-30,False,False,1,,5103,Möriken AG,AG
184486,96653,CH1011701234500000000000002128862,539190.0,1.0,gigi_pv,2024-07-04,True,False,1,,5305,Unterendingen,AG
184486,18846,CH1011701234500000000000002092860,504878.0,1.0,gigi_pv,2024-07-04,True,False,1,,5305,Unterendingen,AG
185674,46968,CH1011701234500000000000000578101,425237.0,,unlabeled,,True,True,1,,5330,Bad Zurzach,AG
185674,46967,CH1011701234500000000000000522315,425234.0,,unlabeled,,True,True,1,,5330,Bad Zurzach,AG
186396,157108,CH1011701234500000000000002137882,550975.0,1.0,gigi_pv,2025-03-18,True,False,1,8.84,4324,Obermumpf,AG
186748,96886,CH1011701234500000000000002129284,539636.0,1.0,gigi_pv,2023-07-03,True,False,1,,5074,Eiken,AG
186879,,,,1.0,gigi_pv,2019-04-03,False,False,1,,4334,Sisseln AG,AG
186964,,,,1.0,gigi_pv,2024-03-13,False,False,1,,4334,Sisseln AG,AG
186983,,,,1.0,gigi_pv,,False,False,1,15.2,4334,Sisseln AG,AG
187213,118890,CH1011701234500000000000002133164,545034.0,,unlabeled,,True,False,1,,5113,Holderbank AG,AG
187213,27487,CH1011701234500000000000000568943,407975.0,,unlabeled,,True,False,1,,5113,Holderbank AG,AG
187213,27485,CH1011701234500000000000000500391,407978.0,,unlabeled,,True,False,1,,5113,Holderbank AG,AG
187258,66613,CH1011701234500000000000002123182,533230.0,1.0,gigi_pv,2022-11-30,True,False,1,,5106,Veltheim AG,AG
188435,,,,1.0,gigi_pv,2025-05-01,False,False,1,16.02,5524,Niederwil AG,AG
188943,,,,1.0,gigi_pv,,False,False,1,13.2,5524,Niederwil AG,AG
190040 / 750463,,,,,unlabeled,2023-09-21,False,False,1,,5504,Othmarsingen,AG
191185,,,,1.0,gigi_pv,2021-04-08,False,False,4,17.3,4805,Brittnau,AG
191828,156784,CH1011701234500000000000002138801,552010.0,1.0,gigi_pv,,True,False,1,16.56,5452,Oberrohrdorf,AG
192082,163386,CH1011701234500000000000000555972,390034.0,1.0,gigi_pv,,True,False,1,,5620,Bremgarten AG,AG
194098,107115,CH1011701234500000000000000589652,372084.0,,unlabeled,,True,True,1,,5504,Othmarsingen,AG
194265,123269,CH1011701234500000000000002132065,543039.0,1.0,gigi_pv,2024-08-08,True,False,1,,5078,Effingen,AG
194322,,,,,unlabeled,,False,False,1,,5604,Hendschiken,AG
194423,155841,CH1011701234500000000000002132404,543833.0,1.0,gigi_pv,,True,False,1,,4324,Obermumpf,AG
195088,141982,CH1011701234500000000000002122253,532282.0,1.0,gigi_pv,2022-09-07,True,False,2,,4313,Möhlin,AG
195114,,,,1.0,gigi_pv,,False,False,1,,5330,Bad Zurzach,AG
196287,,,,,unlabeled,2020-04-24,False,False,1,,5107,Schinznach Dorf,AG
196344,,,,1.0,gigi_pv,2017-06-21,False,False,2,,5732,Zetzwil,AG
197257,125617,CH1011701234500000000000002130992,541855.0,1.0,gigi_pv,2024-07-16,True,False,1,,5426,Lengnau AG,AG
197257,94991,CH1011701234500000000000000522273,389093.0,1.0,gigi_pv,2024-07-16,True,False,1,,5426,Lengnau AG,AG
197811,,,,1.0,gigi_pv,2024-12-05,False,False,1,,4305,Olsberg,AG
198525,,,,1.0,gigi_pv,2024-11-06,False,False,1,,5723,Teufenthal AG,AG
198827,90815,CH1011701234500000000000002121980,532022.0,1.0,gigi_pv,2022-10-12,True,False,1,,5225,Bözberg,AG
199430,,,,1.0,gigi_pv,2025-08-20,False,False,2,15.98,4303,Kaiseraugst,AG
201264,144017,CH1011701234500000000000002129138,539464.0,1.0,gigi_pv,2024-05-07,True,False,1,,5076,Bözen,AG
201391,122134,CH1011701234500000000000002132211,543637.0,1.0,gigi_pv,2024-10-07,True,False,2,,5076,Bözen,AG
201527,,,,1.0,gigi_pv,2025-06-23,False,False,2,43.2,5620,Bremgarten AG,AG
203398,,,,1.0,gigi_pv,,False,False,1,,5610,Wohlen AG,AG
204380,,,,1.0,gigi_pv,2024-04-19,False,False,1,20.24,5325,Leibstadt,AG
21264,,,,,unlabeled,,False,True,1,,4303,Kaiseraugst,AG
212714,,,,1.0,gigi_pv,2022-06-08,False,False,2,,4665,Oftringen,AG
212758,,,,1.0,gigi_pv,2022-07-28,False,False,1,,5722,Gränichen,AG
213052,,,,,unlabeled,2022-11-15,False,False,1,,5033,Buchs AG,AG
213106,,,,1.0,gigi_pv,,False,False,1,,5420,Ehrendingen,AG
213113,,,,1.0,gigi_pv,2022-11-02,False,False,2,,4653,Obergösgen,SO
213274,,,,1.0,gigi_pv,2022-09-16,False,False,1,,4852,Rothrist,AG
213683,,,,1.0,gigi_pv,2022-09-22,False,False,1,,5024,Küttigen,AG
213700,,,,,unlabeled,,False,False,1,,5610,Wohlen AG,AG
213711,,,,1.0,gigi_pv,2022-05-17,False,False,2,,5024,Küttigen,AG
214149,,,,1.0,gigi_pv,2022-10-11,False,True,2,,5420,Ehrendingen,AG
214379,,,,1.0,gigi_pv,2023-02-09,False,False,1,,5525,Fischbach-Göslikon,AG
214501,,,,1.0,gigi_pv,,False,False,1,,5035,Unterentfelden,AG
214609,,,,,unlabeled,2023-01-31,False,False,1,,4313,Möhlin,AG
214745,,,,1.0,gigi_pv,2022-11-15,False,True,2,,5430,Wettingen,AG
214910,,,,1.0,gigi_pv,2022-12-14,False,False,2,,4800,Zofingen,AG
215442,,,,1.0,gigi_pv,2023-03-08,False,False,1,,5000,Aarau,AG
215480,117270,CH1011701234500000000000002124896,535001.0,1.0,gigi_pv,2023-06-16,True,False,1,,5504,Othmarsingen,AG
215492,,,,1.0,gigi_pv,2023-07-07,False,False,2,,5033,Buchs AG,AG
215500,,,,1.0,gigi_pv,,False,False,1,21.17,4323,Wallbach,AG
215605,,,,,unlabeled,,False,False,1,,5023,Biberstein,AG
215676,,,,,unlabeled,,False,False,1,,4852,Rothrist,AG
215697,,,,1.0,gigi_pv,2023-09-27,False,False,1,,5742,Kölliken,AG
215731,,,,1.0,gigi_pv,2023-08-24,False,False,2,,5430,Wettingen,AG
215740,,,,1.0,gigi_pv,2023-07-14,False,False,1,,5000,Aarau,AG
215929,168217,CH1011701234500000000000002136045,548848.0,1.0,gigi_pv,2023-07-28,True,False,1,,5724,Dürrenäsch,AG
215962,,,,1.0,gigi_pv,2023-05-15,False,False,2,,5210,Windisch,AG
216063,,,,1.0,gigi_pv,,False,False,1,,5024,Küttigen,AG
216151,,,,1.0,gigi_pv,,False,False,1,,8966,Oberwil-Lieli,AG
216213,,,,1.0,gigi_battery,2023-05-05,False,False,1,,4657,Dulliken,SO
216226,,,,1.0,gigi_pv,2023-08-30,False,False,1,,5014,Gretzenbach,SO
216237,,,,1.0,gigi_pv,2023-03-22,False,False,2,,5610,Wohlen AG,AG
216373,,,,1.0,gigi_pv,,False,False,1,,8956,Killwangen,AG
216692,,,,1.0,gigi_pv,2023-12-08,False,False,1,,5014,Gretzenbach,SO
217735,,,,1.0,gigi_pv,2023-12-08,False,False,1,,8964,Rudolfstetten,AG
218254,,,,,unlabeled,,False,True,1,,5417,Untersiggenthal,AG
218646,,,,1.0,gigi_pv,2024-01-12,False,False,1,12.71,4310,Rheinfelden,AG
218749,,,,1.0,gigi_pv,2023-12-15,False,False,1,31.98,5600,Lenzburg,AG
218940,,,,1.0,gigi_pv,2024-12-07,False,False,2,,5058,Wiliberg,AG
219030,,,,1.0,gigi_pv,2024-04-22,False,False,1,,8965,Berikon,AG
219195,,,,1.0,gigi_pv,2023-12-19,False,False,1,,5000,Aarau,AG
219355,,,,1.0,gigi_pv,2023-10-20,False,False,1,,5222,Umiken,AG
219690,,,,1.0,gigi_pv,2023-12-19,False,False,1,,4800,Zofingen,AG
219735,,,,1.0,gigi_pv,2024-04-23,False,False,1,,5018,Erlinsbach,AG
220346,,,,,unlabeled,2024-06-07,False,True,1,,5018,Erlinsbach,AG
220402,,,,1.0,gigi_pv,,False,False,1,,5000,Aarau,AG
220464,,,,1.0,gigi_pv,2024-02-29,False,False,1,,5442,Fislisbach,AG
220531,,,,1.0,gigi_battery,2025-04-30,False,False,1,,5036,Oberentfelden,AG
220598,,,,1.0,gigi_pv,2024-06-21,False,False,1,,5502,Hunzenschwil,AG
220642,,,,,unlabeled,,False,False,1,,5200,Brugg AG,AG
220683,,,,1.0,gigi_pv,2024-08-09,False,False,1,,4803,Vordemwald,AG
220835,,,,1.0,gigi_pv,2024-09-03,False,False,1,,4853,Murgenthal,AG
220966,,,,1.0,gigi_pv,2024-04-10,False,False,1,,5018,Erlinsbach,AG
221051,,,,1.0,gigi_pv,2024-10-03,False,False,1,9.2,8954,Geroldswil,ZH
221104,,,,1.0,gigi_pv,2024-08-27,False,False,1,26.97,5504,Othmarsingen,AG
221151,,,,1.0,gigi_pv,2024-04-05,False,False,1,,5610,Wohlen AG,AG
221163,,,,1.0,gigi_pv,2024-05-08,False,False,1,,5000,Aarau,AG
221242,,,,,unlabeled,2023-10-13,False,False,1,,5000,Aarau,AG
221251,,,,1.0,gigi_pv,2024-06-20,False,False,2,,5507,Mellingen,AG
221278,,,,1.0,gigi_pv,2017-12-07,False,False,1,,8105,Regensdorf,ZH
221659,,,,,unlabeled,,False,True,1,,5502,Hunzenschwil,AG
221660,,,,1.0,gigi_pv,2024-05-31,False,False,2,,5607,Hägglingen,AG
221878,,,,1.0,gigi_pv,2024-11-05,False,False,1,,5033,Buchs AG,AG
221953,,,,1.0,gigi_pv,2021-08-09,False,False,1,,4852,Rothrist,AG
222144,,,,1.0,gigi_pv,2024-09-03,False,False,1,,5737,Menziken,AG
222361,,,,1.0,gigi_pv,2024-06-14,False,True,2,,3038,Kirchlindach,BE
222659,,,,1.0,gigi_pv,2024-07-31,False,False,1,,5722,Gränichen,AG
222824,95133,CH1011701234500000000000002127985,538273.0,1.0,gigi_pv,,True,False,1,20.25,5304,Endingen,AG
222951,,,,1.0,gigi_pv,2024-08-28,False,False,1,,5622,Waltenschwil,AG
223251,,,,1.0,gigi_battery,,False,True,1,,4852,Rothrist,AG
223319,,,,1.0,gigi_pv,2024-06-06,False,False,1,,5013,Niedergösgen,SO
223425,,,,1.0,gigi_pv,,False,False,1,,4802,Strengelbach,AG
223566,,,,1.0,gigi_pv,2025-01-17,False,False,1,,4102,Binningen,BL
223567,,,,1.0,gigi_pv,2024-08-09,False,False,1,,8965,Berikon,AG
223653,,,,1.0,gigi_pv,2024-06-20,False,False,3,,4323,Wallbach,AG
223900,155255,CH1011701234500000000000002133034,544466.0,1.0,gigi_pv,2024-11-22,True,False,1,,5607,Hägglingen,AG
