GP-Nr;PLZ;Ort;Kanton;WärmePumpe; PV;PV-Leistung in kWp ;Batterie/Speicher;Ladestation für Elektrofahrzeuge;Wärmepumpenboiler;Datum Unterschrift;geplanter Baustart;Übergabe;InBetrieb-Datum;InBetrieb-Datum bezieht sich auf
734306;4312;Magden;AG;x;-;;x;-;-;21.09.2019;16.12.2019;06.02.2020;15.01.2020;Wärmepumpe + Batterie
134742;5070;Frick;AG;x;-;;-;-;-;24.09.2019;25.11.2019;20.01.2020;13.12.2019;Wärmepumpe
576627;5116;Schinznach Bad;AG;-;x;;x;-;-;25.09.2019;KW2;30.04.2020;;
576554;5723;Teufenthal AG;AG;x;x;;x;-;-;25.09.2019;KW46;13.02.2020;19.11.2019;Wärmepumpe + PV + Batterie
576463;5082;Kaisten;AG;-;x;;-;-;-;27.09.2019;KW9  ;30.04.2020;28.02.2020;PV
575339;4652;Winznau;SO;;x;;x;-;-;27.09.2019;KW9;April/Mai;05.03.2020;PV + Batterie
740351;5107;Schinznach Dorf;AG;x;-;;-;-;-;28.09.2019;KW49;09.01.2020;10.12.2019;Wärmepumpe
577310;4655;Stüsslingen;SO;x;x;;x;-;-;01.10.2019;KW8;03.06.2020;25.03.2020;Wärmepumpe + PV + Batterie
575578;5212;Hausen AG;AG;x;x;;-;-;-;03.10.2019;KW9+10 PV + KW13 WP;07.05.2020;08.04.2020;Wärmepumpe + PV
891304;4312;Magden;AG;x;x;;x;x;-;03.10.2019;KW6;15.07.2020;18.02.2020;Wärmepumpe + PV + Batterie + EV-Ladestation
576552;5742;Kölliken;AG;;x;;x;-;-;05.10.2019;06.02.2020;16.03.2020;20.02.2020;PV + Batterie
575427;5036;Oberentfelden;AG;-;-;;-;-;-;10.10.2019;17.12.2019;-;;
707713;4323;Wallbach;AG;-;-;;x;-;-;16.10.2019;-;-;28.05.2019;Batterie
131732;4323;Wallbach;AG;-;x;;x;-;-;26.10.2019;KW10;21.04.2020;21.03.2019;PV + Batterie
577138;5213;Villnachern;AG;-;x;;x;-;-;30.10.2019;KW11;22.05.2020;;
573962;5024;Küttigen;AG;-;-;;-;x;-;05.11.2019;06.11.2019;14.11.2019;02.07.2019;EV-Ladestation
707268;5027;Herznach;AG;x;-;;-;-;-;06.11.2019;KW16;31.07.2020;01.05.2020;Wärmepumpe
576527;5600;Lenzburg;AG;-;x;;-;-;-;08.11.2019;KW12;28.04.2020;;
196287;5107;Schinznach Dorf;AG;-;-;;-;-;-;13.11.2019;-;-;24.04.2020;unbekannt (keine Anlage auf dieser Zeile markiert)
194322;5604;Hendschiken;AG;-;-;;-;-;-;15.11.2019;KW15;;;
576503;5723;Teufenthal AG;AG;-;x;;x;-;-;18.11.2019;KW11;19.05.2020;17.04.2020;PV + Batterie
706391;5027;Herznach;AG;-;x;;x;-;-;23.11.2019;KW19;12.08.2020;28.05.2020;PV + Batterie
576898;5315;Böttstein;AG;-;x;;x;-;-;02.12.2019;KW12;28.05.2020;;
576618;5600;Lenzburg;AG;-;x;;x;-;-;03.12.2019;KW11;17.04.2020;;
579508;5032;Aarau Rohr;AG;-;x;;x;-;-;16.12.2019;KW10;05.06.2020;27.04.2020;PV + Batterie
812691;5620;Bremgarten AG;AG;;x;;-;-;-;17.12.2019;KW16;05.06.2020;18.11.2019;PV
692712;8962;Bergdietikon;AG;;x;;-;-;-;20.12.2019;KW24;-;;
184136;5103;Möriken AG;AG;x;-;;-;-;-;21.12.2019;08.06.2020;28.08.2020;30.06.2020;Wärmepumpe
575102;4654;Lostorf;SO;x;x;;x;-;-;31.12.2019;KW15;18.08.2020;23.04.2020;Wärmepumpe + PV + Batterie
585704;5312;Döttingen;AG;-;x;;x;-;-;13.01.2020;04.02.2020;02.06.2020;16.04.2020;PV + Batterie
134586;5726;Unterkulm;AG;x;x;;x;-;-;18.01.2020;KW21;16.07.2020;16.06.2020;Wärmepumpe + PV + Batterie
578447;8907;Wettswil;ZH;x;-;;-;-;-;19.01.2020;09.03.2020;11.06.2020;22.05.2020;Wärmepumpe
578673;5712;Beinwil am See;AG;-;x;;x;-;-;19.01.2020;KW23;24.08.2020;04.06.2020;PV + Batterie
570021;5023;Biberstein;AG;-;x;;x;-;-;29.01.2020;KW17;23.07.2020;24.11.2017;PV + Batterie
576824;5610;Wohlen AG;AG;x;x;;x;-;-;05.02.2020;KW17;17.06.2020;07.05.2020;Wärmepumpe + PV + Batterie
576846;4852;Rothrist;AG;-;x;;x;-;-;11.02.2020;KW25;-;;
573469;5032;Aarau Rohr;AG;-;-;;x;-;-;22.02.2020;KW18;29.05.2020;03.05.2019;Batterie
577919;5442;Fislisbach;AG;x;x;;-;-;-;22.02.2020;KW19;14.09.2020;29.05.2020;Wärmepumpe + PV
727423;4325;Schupfart;AG;x;x;;-;-;-;24.02.2020;KW21;19.10.2020;28.05.2020;Wärmepumpe + PV
575539;5012;Schönenwerd;SO;x;x;;x;-;-;05.03.2020;KW24;11.08.2020;25.06.2020;Wärmepumpe + PV + Batterie
700810;5236;Remigen;AG;x;x;;x;-;-;13.03.2020;22.07.2020;18.09.2020;13.08.2020;Wärmepumpe + PV + Batterie
741214;4312;Magden;AG;-;-;;x;-;-;17.03.2020;11.05.2020;-;;
578994;5103;Möriken-Wildegg;AG;x;x;;-;-;-;20.03.2020;24.08.2020;28.10.2020;11.09.2020;Wärmepumpe + PV
574477;5276;Wil AG;AG;-;x;;-;-;-;05.04.2020;KW27;21.08.2020;30.07.2019;PV
749245;4315;Zuzgen;AG;x;x;;x;-;-;06.04.2020;KW25;27.08.2020;24.07.2020;Wärmepumpe + PV + Batterie
572837;5035;Unterentfelden;AG;-;x;;-;-;-;18.04.2020;KW27;27.08.2020;27.08.2019;PV
745999;5330;Bad Zurzach;AG;x;-;;-;-;-;27.04.2020;KW38;23.11.2020;27.10.2020;Wärmepumpe
167357;5245;Habsburg;AG;x;-;;-;-;-;06.05.2020;KW34;18.09.2020;09.03.2018;Wärmepumpe
579842;5018;Erlinsbach;AG;-;x;;-;-;-;10.05.2020;KW32;07.09.2020;19.08.2020;PV
829143;5522;Tägerig;AG;x;-;;-;-;-;11.05.2020;KW32;08.09.2020;;
195114;5330;Bad Zurzach;AG;-;x;;x;-;-;13.05.2020;KW33;26.11.2020;;
579764;5610;Wohlen AG;AG;-;x;;x;-;-;14.05.2020;KW35;11.11.2020;19.10.2020;PV + Batterie
561504;5040;Schöftland;AG;x;x;;-;-;-;27.05.2020;KW31;21.09.2020;;
578973;4712;Laupersdorf;SO;x;x;;-;-;-;27.05.2020;KW31;23.10.2020;09.09.2020;Wärmepumpe + PV
583071;5040;Schöftland;AG;-;x;;-;-;-;28.05.2020;KW32;16.09.2020;;
866821;5070;Frick;AG;x;-;;-;-;-;09.06.2020;28.09.2020;18.11.2020;;
746421;5304;Endingen;AG;x;-;;-;-;-;14.06.2020;KW38;19.11.2020;25.09.2020;Wärmepumpe
583327;5242;Lupfig;AG;x;x;;x;-;-;18.06.2020;KW1;12.03.2021;05.02.2021;Wärmepumpe + PV + Batterie
582891;5722;Gränichen;AG;-;x;;x;-;-;26.06.2020;KW36;14.10.2020;17.09.2020;PV + Batterie
723468;4310;Rheinfelden;AG;-;-;;-;x;-;29.06.2020;25.08.2020;27.08.2020;13.11.2019;EV-Ladestation
744851;5027;Herznach;AG;-;x;;-;-;-;02.07.2020;KW36;30.10.2020;;
870417;5300;Turgi;AG;-;x;;x;-;-;11.07.2020;-;21.01.2021;26.11.2020;PV + Batterie
571758;4805;Brittnau;AG;-;x;;-;x;-;13.07.2020;KW43;01.12.2020;09.11.2020;PV + EV-Ladestation
578673;5712;Beinwil am See;AG;;;;x;-;-;16.07.2020;;-;04.06.2020;Batterie
573527;5036;Oberentfelden;AG;-;-;;x;-;-;16.07.2020;-;x;;
576824;5610;Wohlen AG;AG;-;-;;x;-;-;18.07.2020;-;-;07.05.2020;Batterie
583431;5442;Fislisbach;AG;x;-;;-;-;-;18.07.2020;KW43;07.12.2020;03.11.2020;Wärmepumpe
584849;5022;Rombach;AG;-;-;;-;x;-;26.07.2020;x;-;;
577847;5212;Hausen AG;AG;x;x;;x;;;26.07.2020;KW45;15.12.2020;19.11.2020;Wärmepumpe + PV + Batterie
579050;5507;Mellingen;AG;x;-;;-;-;-;27.07.2020;KW44;07.12.2020;;
580866;5442;Fislisbach;AG;x;x;;-;;;29.07.2020;09.11.2020;17.12.2020;01.12.2020;Wärmepumpe + PV
582940;5452;Oberrohrdorf;AG;x;-;;-;-;-;31.07.2020;KW46;08.12.2020;15.11.2020;Wärmepumpe
157648;5272;Gansingen;AG;-;-;;-;x;;01.08.2020;15.10.2020;-;07.02.2020;EV-Ladestation
583547;5728;Gontenschwil;AG;x;x;;-;-;-;01.08.2020;KW42;04.12.2020;21.10.2020;Wärmepumpe + PV
583323;4303;Kaiseraugst;AG;x;-;;-;-;-;03.08.2020;KW48;18.01.2021;02.12.2020;Wärmepumpe
785360;5622;Waltenschwil;AG;x;x;;x;-;-;05.08.2020;KW43;04.12.2020;29.10.2020;Wärmepumpe + PV + Batterie
586106;5000;Aarau;AG;x;-;;-;-;-;17.08.2020;KW18;14.06.2021;18.05.2021;Wärmepumpe
580601;4310;Rheinfelden;AG;-;x;;x;-;-;21.08.2020;KW2;;06.05.2021;PV + Batterie
578360;5742;Kölliken;AG;-;x;;-;-;-;29.08.2020;Q3;;;
175356;5313;Klingnau;AG;-;x;;x;-;-;31.08.2020;KW11;02.06.2021;08.04.2021;PV + Batterie
584353;5024;Küttigen;AG;-;x;;x;-;-;01.09.2020;KW48;14.01.2021;;
745999;5330;Bad Zurzach;AG;-;x;;-;-;-;04.09.2020;-;-;27.10.2020;PV
584301;8966;Oberwil-Lieli;AG;x;x;;-;-;-;05.09.2020;KW15;07.05.2021;21.04.2021;Wärmepumpe + PV
714621;5107;Schinznach Dorf;AG;-;x;;x;-;-;09.09.2020;KW50;22.01.2021;17.12.2020;PV + Batterie
576554;5723;Teufenthal AG;AG;-;-;;x;-;-;10.09.2020;KW43;-;19.11.2019;Batterie
578673;5712;Beinwil am See;AG;-;x;;-;-;-;13.09.2020;25.02.2021;-;04.06.2020;PV
575102;4654;Lostorf;SO;-;-;;-;-;-;18.09.2020;;-;23.04.2020;unbekannt (keine Anlage auf dieser Zeile markiert)
847175;5106;Veltheim AG;AG;-;x;;-;-;-;21.09.2020;KW46;07.01.2021;04.12.2020;PV
585999;5028;Ueken;AG;-;x;;x;-;-;29.09.2020;KW44;08.01.2021;;
558719;4310;Rheinfelden;AG;;;;x;;;01.10.2020;;;;
150401;4313;Möhlin;AG;-;x;;x;-;-;01.10.2020;KW1;08.03.2021;14.01.2021;PV + Batterie
891304;4312;Magden;AG;;;;x;;;02.10.2020;KW4;;18.02.2020;Batterie
585733;8905;Arni AG;AG;-;x;;-;-;-;02.10.2020;KW46;Mario;;
821264;4303;Kaiseraugst;AG;;;;x;;;04.10.2020;;-;17.01.2020;Batterie
706277;5075;Hornussen;AG;;;;x;;;05.10.2020;;-;21.01.2020;Batterie
584523;5054;Moosleerau;AG;-;x;;-;-;-;06.10.2020;KW3;09.03.2021;;
587682;4663;Aarburg;AG;x;-;;-;-;-;09.10.2020;;;;
720967;4310;Rheinfelden;AG;-;x;;x;-;-;10.10.2020;KW4;15.03.2021;;
180092;5630;Muri AG;AG;-;-;;-;x;x;12.10.2020;KW49;07.01.2021;04.12.2020;EV-Ladestation + Wärmepumpenboiler
713405;4315;Zuzgen;AG;x;-;;x;x;-;15.10.2020;KW19;24.06.2021;18.05.2021;Wärmepumpe + Batterie + EV-Ladestation
584041;5443;Niederrohrdorf;AG;-;x;;.;-;-;21.10.2020;KW9;16.04.2021;17.03.2021;PV
162973;5727;Oberkulm;AG;-;x;;-;-;-;22.10.2020;KW8;14.04.2021;18.03.2021;PV
158544;4310;Rheinfelden;AG;x;x;;x;-;-;22.10.2020;KW16;02.06.2021;30.04.2021;Wärmepumpe + PV + Batterie
129225;5072;Oeschgen;AG;x;x;;x;-;-;26.10.2020;KW50;03.02.2021;18.12.2020;Wärmepumpe + PV + Batterie
584939;5512;Wohlenschwil;AG;-;x;;x;-;-;29.10.2020;KW5;26.03.2021;;
573527;5036;Oberentfelden;AG;-;-;;-;-;x;30.10.2020;-;03.01.2021;;
584406;5033;Buchs AG;AG;-;x;;x;-;-;01.11.2020;KW7;08.04.2021;24.02.2021;PV + Batterie
573484;5033;Buchs AG;AG;-;-;;x;-;-;03.11.2020;-;-;30.01.2020;Batterie
690299;4317;Wegenstetten;AG;-;x;;-;-;-;08.11.2020;KW7;19.03.2021;18.02.2021;PV
137898;4315;Zuzgen;AG;-;x;;-;x;;21.11.2020;KW3;x;02.02.2021;PV + EV-Ladestation
574685;4322;Mumpf;AG;-;-;;-;x;;23.11.2020;KW50;-;16.10.2019;EV-Ladestation
574685;4322;Mumpf;AG;-;-;;x;-;-;26.11.2020;;-;16.10.2019;Batterie
576618;5600;Lenzburg;AG;-;-;;x;-;-;28.11.2020;ab Jan 20201;-;;
108801;5322;Koblenz;AG;x;x;;-;-;-;29.11.2020;KW16;08.06.2021;11.05.2021;Wärmepumpe + PV
584301;8966;Oberwil-Lieli;AG;-;-;;-;-;-;03.12.2020;KW15;-;21.04.2021;unbekannt (keine Anlage auf dieser Zeile markiert)
191185;4805;Brittnau;AG;x;x;;x;-;-;08.12.2020;KW10;07.05.2021;08.04.2021;Wärmepumpe + PV + Batterie
692320;8962;Bergdietikon;AG;-;-;;x;-;-;10.12.2020;;;;
586117;5312;Döttingen;AG;-;x;;x;-;-;13.12.2020;KW14;12.05.2021;;
584196;5623;Boswil;AG;x;x;;x;x;-;15.12.2020;KW15;04.06.2021;14.12.2020;Wärmepumpe + PV + Batterie + EV-Ladestation
706391;5027;Herznach;AG;-;-;;-;-;-;16.12.2020;KW1;-;28.05.2020;unbekannt (keine Anlage auf dieser Zeile markiert)
573484;5033;Buchs AG;AG;-;x;;-;-;-;17.12.2020;-;-;30.01.2020;PV
586707;8957;Spreitenbach;AG;-;-;;-;x;-;15.01.2021;KW4;;;
587753;5103;Möriken-Wildegg;AG;-;-;;-;x;;16.01.2021;-;-;;
729283;4332;Stein AG;AG;-;x;;x;-;-;20.01.2021;KW15;09.08.2021;02.06.2021;PV + Batterie
746741;5300;Turgi;AG;-;x;;x;-;-;24.01.2021;KW 21;01.07.2021;;
590117;4303;Kaiseraugst;AG;-;x;;-;-;-;25.01.2021;kw13;28.04.2021;;
739616;4813;Uerkheim;AG;-;x;;x;-;-;30.01.2021;kW 17;24.06.2021;11.05.2021;PV + Batterie
716671;8962;Bergdietikon;AG;-;-;;x;-;-;01.02.2021;KW29;-;04.12.2017;Batterie
575135;5012;Eppenberg;SO;-;-;;x;-;-;01.02.2021;KW14;05.05.2021;23.10.2019;Batterie
588117;5103;Möriken AG;AG;x;x;;x;x;x;03.02.2021;KW14;09.09.2021;15.04.2021;Wärmepumpe + PV + Batterie + EV-Ladestation + Wärmepumpenboiler
588329;4657;Dulliken;SO;x;x;;-;-;-;10.02.2021;KW15/2021 WP  & KW 18/2022 Solar;18.08.2022;23.04.2021;Wärmepumpe + PV
584595;5103;Möriken AG;AG;-;x;;x;x;-;13.02.2021;KW18;09.06.2021;20.05.2021;PV + Batterie + EV-Ladestation
574477;5276;Wil AG;AG;-;-;;x;-;-;19.02.2021;KW19/20;02.06.2021;30.07.2019;Batterie
587669;4632;Trimbach;SO;-;x;;-;x;-;27.02.2021;KW26;18.08.2021;05.07.2021;PV + EV-Ladestation
587410;4652;Winznau;SO;x;x;;x;-;-;28.02.2021;KW22;25.08.2021;15.06.2021;Wärmepumpe + PV + Batterie
191185;4805;Brittnau;AG;-;-;;-;x;;05.03.2021;Mitte Juni;07.05.2021;08.04.2021;EV-Ladestation
116373;5083;Ittenthal;AG;-;x;;x;-;-;09.03.2021;KW21;30.06.2021;;
575578;5212;Hausen AG;AG;-;-;;x;-;-;11.03.2021;KW22;?;08.04.2020;Batterie
744897;5106;Veltheim AG;AG;x;-;;-;-;-;15.03.2021;KW30;02.09.2021;;
175022;5313;Klingnau;AG;-;x;;x;-;-;17.03.2021;kW31;10.11.2021;;
572837;5035;Unterentfelden;AG;-;-;;x;-;-;18.03.2021;KW19;18.06.2021;27.08.2019;Batterie
583987;5024;Küttigen;AG;-;x;;x;x;-;23.03.2021;KW18;;31.05.2021;PV + Batterie + EV-Ladestation
134065;5316;Leuggern;AG;-;x;;x;x;-;29.03.2021;kW34;29.10.2021;13.09.2021;PV + Batterie + EV-Ladestation
724881;5745;Safenwil;AG;x;-;;-;-;-;30.03.2021;KW44;18.02.2022;08.12.2021;Wärmepumpe
712273;4313;Möhlin;AG;-;x;;x;-;-;02.04.2021;kW32;15.10.2021;23.08.2021;PV + Batterie
571965;5464;Rümikon AG;AG;-;-;;-;x;-;11.04.2021;KW22;-;28.11.2019;EV-Ladestation
574487;5000;Aarau;AG;-;x;;x;-;-;12.04.2021;-;-;-;PV + Batterie
578058;4852;Rothrist;AG;-;x;;x;x;;14.04.2021;KW30;10.09.2021;09.08.2021;PV + Batterie + EV-Ladestation
588885;8903;Birmensdorf ZH;ZH;x;x;;-;-;-;14.04.2021;KW47;24.02.2022;24.11.2021;Wärmepumpe + PV
177528;5621;Zufikon;AG;;;;;;;16.04.2021;-;-;;
590142;5000;Aarau;AG;-;x;;x;-;-;19.04.2021;KW21;24.08.2021;;
570021;5023;Biberstein;AG;-;-;;x;-;-;24.04.2021;;-;24.11.2017;Batterie
576050;5600;Lenzburg;AG;x;x;;-;-;-;24.04.2021;KW31;02.11.2021;13.09.2021;Wärmepumpe + PV
872270;5706;Boniswil;AG;x;x;;-;-;-;27.04.2021;KW26;04.10.2021;04.08.2021;Wärmepumpe + PV
748404;5614;Sarmenstorf;AG;x;x;;x;-;-;28.04.2021;KW35;04.11.2021;27.09.2021;Wärmepumpe + PV + Batterie
749245;4315;Zuzgen;AG;-;-;;x;-;-;30.04.2021;;-;24.07.2020;Batterie
;5722;Gränichen;AG;-;-;;-;-;-;03.05.2021;KW21;;;
738591;5745;Safenwil;AG;-;x;;x;-;x;04.05.2021;KW34;28.01.2022;;
741254;4316;Hellikon;AG;x;x;;x;-;-;04.05.2021;KW30;09.11.2021;24.09.2021;Wärmepumpe + PV + Batterie
574477;5276;Wil AG;AG;-;-;;-;x;-;05.05.2021;KW19;-;30.07.2019;EV-Ladestation
737347;5074;Eiken;AG;x;-;;-;-;-;09.05.2021;KW41;26.11.2021;;
751454;4310;Rheinfelden;AG;x;x;;x;x;-;10.05.2021;KW32;20.10.2021;31.08.2021;Wärmepumpe + PV + Batterie + EV-Ladestation
578634;5620;Bremgarten AG;AG;x;x;;-;-;-;11.05.2021;KW31;03.09.2021;05.08.2021;Wärmepumpe + PV
714588;4313;Möhlin;AG;-;x;;x;x;-;14.05.2021;KW30;20.10.2021;;
751780;4313;Möhlin;AG;-;x;;x;-;-;17.05.2021;KW30;20.10.2021;;
118180;5607;Hägglingen;AG;x;x;;x;x;-;18.05.2021;KW30;23.12.2021;04.11.2021;Wärmepumpe + PV + Batterie + EV-Ladestation
573459;5102;Rupperswil;AG;-;-;;-;x;;19.05.2021;KW24;-;12.04.2019;EV-Ladestation
576915;5442;Fislisbach;AG;x;-;;x;-;-;19.05.2021;KW33;28.09.2021;05.02.2020;Wärmepumpe + Batterie
576543;5723;Teufenthal AG;AG;x;x;;x;-;-;20.05.2021;KW36;10.11.2021;23.09.2021;Wärmepumpe + PV + Batterie
712641;4313;Möhlin;AG;x;x;;x;-;-;20.05.2021;KW5;15.03.2022;07.10.2021;Wärmepumpe + PV + Batterie
572761;8966;Oberwil-Lieli;AG;-;-;;x;-;-;26.05.2021;KW25;-;25.10.2018;Batterie
734850;5614;Sarmenstorf;AG;x;x;;x;x;-;30.05.2021;KW45;01.03.2022;21.12.2021;Wärmepumpe + PV + Batterie + EV-Ladestation
