gp_nr,mp_id,zpb,anlage,battery_positive,audit_negative,battery_commissioning_date,has_pv_row,has_meter,n_gigi_rows,plz,kanton
706277,150906,CH1011701234500000000000002099172,514799,True,False,2020-01-21,True,True,2,5075,AG
122506,97562,CH1011701234500000000000002098833,514437,True,False,,True,True,1,5622,AG
573484,,,,True,False,2020-01-30,True,False,3,5033,AG
576915,,,,True,False,2020-02-05,True,False,2,5442,AG
739616,134852,CH1011701234500000000000002103579,519256,True,False,2021-05-11,True,True,4,4813,AG
157648,,,,True,False,2020-02-07,True,False,2,5272,AG
734306,170516,CH1011701234500000000000001520275,491301,True,False,2020-01-15,False,True,2,4312,AG
734306,46962,CH1011701234500000000000000538731,420943,True,False,2020-01-15,False,True,2,4312,AG
134742,,,,False,True,,False,False,1,5070,AG
576627,,,,True,False,,True,False,1,5116,AG
576554,,,,True,False,2019-11-19,True,False,2,5723,AG
576463,,,,False,True,,True,False,1,5082,AG
575339,,,,True,False,2020-03-05,True,False,2,4652,SO
740351,137605,CH1011701234500000000000001970849,492058,True,False,2019-12-10,False,True,2,5107,AG
577310,,,,True,False,2020-03-25,True,False,2,4655,SO
575578,,,,True,False,2020-04-08,True,False,2,5212,AG
891304,,,,True,False,2020-02-18,True,False,2,4312,AG
576552,,,,True,False,2020-02-20,True,False,2,5742,AG
575427,,,,False,True,,False,False,1,5036,AG
577138,,,,True,False,,True,False,1,5213,AG
707268,127621,CH1011701234500000000000002123929,533999,True,False,2020-05-01,True,True,3,5027,AG
576527,,,,False,True,,True,False,1,5600,AG
196287,,,,False,True,,False,False,1,5107,AG
194322,,,,False,True,,False,False,1,5604,AG
576503,,,,True,False,2020-04-17,True,False,1,5723,AG
706391,,,,True,False,2020-05-28,True,False,2,5027,AG
576898,,,,True,False,,True,False,1,5315,AG
576618,,,,True,False,,True,False,3,5600,AG
579508,,,,True,False,2020-04-27,True,False,2,5032,AG
692712,62847,CH1011701234500000000000002100878,516492,False,True,,True,True,1,8962,AG
184136,,,,False,True,,False,False,1,5103,AG
575102,,,,True,False,2020-04-23,True,False,3,4654,SO
585704,147416,CH1011701234500000000000002099033,514655,True,False,2020-04-16,True,True,1,5312,AG
585704,147413,CH1011701234500000000000002099030,514652,True,False,2020-04-16,True,True,1,5312,AG
585704,147417,CH1011701234500000000000002099034,514656,True,False,2020-04-16,True,True,1,5312,AG
134586,36920,CH1011701234500000000000002100171,515800,True,False,2020-06-16,True,True,1,5726,AG
578447,,,,False,True,,False,False,1,8907,ZH
578673,,,,True,False,2020-06-04,True,False,3,5712,AG
576824,,,,True,False,2020-05-07,True,False,4,5610,AG
576846,,,,True,False,,True,False,1,4852,AG
577919,,,,True,False,2025-07-11,True,False,2,5442,AG
727423,153284,CH1011701234500000000000002101104,516718,True,False,2020-05-28,True,True,2,4325,AG
575539,,,,True,False,2020-06-25,True,False,1,5012,SO
700810,170182,CH1011701234500000000000002100228,515859,True,False,2020-08-13,True,False,1,5236,AG
741214,166047,CH1011701234500000000000001184069,490292,True,False,,False,True,2,4312,AG
578994,,,,False,True,,True,False,1,5103,AG
749245,,,,True,False,2020-07-24,True,False,2,4315,AG
745999,48393,CH1011701234500000000000002096887,512223,False,True,,True,True,2,5330,AG
579842,,,,True,False,2026-02-17,True,False,2,5018,AG
829143,97990,CH1011701234500000000000000565757,449127,False,True,,False,True,1,5522,AG
829143,97988,CH1011701234500000000000000551713,449128,False,True,,False,True,1,5522,AG
195114,,,,True,False,,True,False,1,5330,AG
579764,,,,True,False,2020-10-19,True,False,1,5610,AG
561504,,,,True,False,,True,False,2,5040,AG
578973,,,,False,True,,True,False,1,4712,SO
583071,,,,False,True,,True,False,1,5040,AG
866821,159614,CH1011701234500000000000002135142,547638,False,True,,False,True,1,5070,AG
866821,159613,CH1011701234500000000000002101780,517420,False,True,,False,True,1,5070,AG
746421,94862,CH1011701234500000000000002105988,521710,True,False,2020-09-25,True,True,2,5304,AG
583327,,,,True,False,2021-02-05,True,False,1,5242,AG
582891,,,,True,False,2020-09-17,True,False,4,5722,AG
744851,127700,CH1011701234500000000000002101349,516958,False,True,,True,True,1,5027,AG
744851,127698,CH1011701234500000000000000592708,463675,False,True,,True,True,1,5027,AG
870417,,,,True,False,2020-11-26,True,False,2,5300,AG
571758,,,,False,True,,True,False,1,4805,AG
583431,,,,False,True,,False,False,1,5442,AG
584849,,,,False,True,,False,False,1,5022,AG
577847,,,,True,False,2020-11-19,True,False,1,5212,AG
579050,,,,False,True,,False,False,1,5507,AG
580866,,,,True,False,2020-12-01,True,False,2,5442,AG
582940,,,,False,True,,False,False,1,5452,AG
583547,,,,False,True,,True,False,1,5728,AG
583323,,,,True,False,2020-12-02,True,False,3,4303,AG
785360,107887,CH1011701234500000000000002101896,517546,True,False,2020-10-29,True,True,2,5622,AG
586106,,,,True,False,2021-05-18,True,False,3,5000,AG
580601,,,,True,False,2021-05-06,True,False,1,4310,AG
578360,,,,False,True,,True,False,1,5742,AG
175356,42987,CH1011701234500000000000002104605,520293,True,False,2021-04-08,True,True,1,5313,AG
584353,,,,True,False,,True,False,1,5024,AG
584301,,,,True,False,2021-04-21,True,False,4,8966,AG
714621,147474,CH1011701234500000000000002101994,517644,True,False,2020-12-17,True,True,2,5107,AG
847175,62250,CH1011701234500000000000002101945,517595,False,True,,True,True,1,5106,AG
585999,,,,True,False,,True,False,1,5028,AG
150401,126475,CH1011701234500000000000002102668,518333,True,False,2021-01-14,True,True,1,4313,AG
585733,,,,False,True,,True,False,1,8905,AG
584523,,,,False,True,,True,False,1,5054,AG
587682,,,,False,True,,False,False,1,4663,AG
720967,48301,CH1011701234500000000000002102832,518499,True,False,,True,True,2,4310,AG
720967,62454,CH1011701234500000000000000616003,487599,True,False,,True,True,2,4310,AG
180092,,,,False,True,,False,False,1,5630,AG
713405,160446,CH1011701234500000000000000616205,487796,True,False,2021-05-18,False,True,1,4315,AG
584041,,,,False,False,,True,False,1,5443,AG
162973,37546,CH1011701234500000000000002103368,519043,False,True,,True,True,1,5727,AG
162973,38326,CH1011701234500000000000000597684,468707,False,True,,True,True,1,5727,AG
162973,37545,CH1011701234500000000000000539646,410388,False,True,,True,True,1,5727,AG
158544,88020,CH1011701234500000000000002104532,520218,True,False,2021-04-30,True,True,1,4310,AG
129225,33116,CH1011701234500000000000002102599,518264,True,False,2020-12-18,True,True,1,5072,AG
584939,,,,True,False,,True,False,1,5512,AG
584406,,,,True,False,2021-02-24,True,False,3,5033,AG
690299,142292,CH1011701234500000000000002102843,518511,False,True,,True,True,2,4317,AG
690299,142434,CH1011701234500000000000000567064,419386,False,True,,True,True,2,4317,AG
690299,147161,CH1011701234500000000000000525427,419832,False,True,,True,True,2,4317,AG
137898,169974,CH1011701234500000000000002103237,518907,False,True,,True,False,1,4315,AG
108801,168971,CH1011701234500000000000002104604,520292,True,False,2021-05-11,True,False,2,5322,AG
191185,,,,True,False,2021-04-08,True,False,4,4805,AG
586117,,,,True,False,,True,False,1,5312,AG
584196,,,,True,False,2020-12-14,True,False,1,5623,AG
586707,,,,False,True,,False,False,1,8957,AG
587753,,,,True,False,,True,False,3,5103,AG
729283,,,,True,False,2021-06-02,True,False,3,4332,AG
746741,,,,True,False,,True,False,1,5300,AG
590117,,,,False,True,,True,False,1,4303,AG
588117,,,,True,False,2021-04-15,True,False,2,5103,AG
588329,,,,False,True,,True,False,1,4657,SO
584595,,,,True,False,2021-05-20,True,False,1,5103,AG
587669,,,,False,True,,True,False,1,4632,SO
587410,,,,True,False,2021-06-15,True,False,1,4652,SO
116373,,,,True,False,,True,False,1,5083,AG
744897,61197,CH1011701234500000000000000542883,415705,False,True,,False,True,1,5106,AG
175022,56236,CH1011701234500000000000002106151,521874,True,False,,True,True,2,5313,AG
583987,,,,True,False,2021-05-31,True,False,2,5024,AG
134065,142407,CH1011701234500000000000002106073,521794,True,False,2021-09-13,True,True,1,5316,AG
724881,62764,CH1011701234500000000000002121814,531848,True,False,,True,True,3,5745,AG
712273,154700,CH1011701234500000000000002105068,520771,True,False,2021-08-23,True,True,2,4313,AG
574487,,,,True,False,,True,False,2,5000,AG
578058,,,,True,False,2021-08-09,True,False,1,4852,AG
588885,,,,True,False,2021-11-24,True,False,2,8903,ZH
177528,,,,False,False,,False,False,1,5621,AG
590142,,,,True,False,2023-11-08,True,False,4,5000,AG
576050,,,,True,False,2021-09-13,True,False,2,5600,AG
872270,104098,CH1011701234500000000000002105078,520781,False,True,,True,True,1,5706,AG
872270,90985,CH1011701234500000000000000553229,355673,False,True,,True,True,1,5706,AG
872270,104095,CH1011701234500000000000000548842,355682,False,True,,True,True,1,5706,AG
748404,162636,CH1011701234500000000000002105248,520954,True,False,2021-09-27,True,True,3,5614,AG
738591,58311,CH1011701234500000000000002105481,521200,True,False,,True,True,1,5745,AG
741254,157156,CH1011701234500000000000002105069,520772,True,False,2021-09-24,True,True,2,4316,AG
737347,89341,CH1011701234500000000000000530103,403428,False,True,,False,True,1,5074,AG
751454,47403,CH1011701234500000000000002105169,520874,True,False,2021-08-31,True,True,1,4310,AG
578634,,,,False,True,,True,False,1,5620,AG
714588,150096,CH1011701234500000000000002105132,520836,True,False,,True,True,1,4313,AG
751780,147591,CH1011701234500000000000002105133,520837,True,False,,True,True,1,4313,AG
118180,139818,CH1011701234500000000000002106222,521949,True,False,2021-11-04,True,True,1,5607,AG
576543,,,,True,False,2021-09-23,True,False,1,5723,AG
712641,157092,CH1011701234500000000000002105266,520973,True,False,2021-10-07,True,True,2,4313,AG
734850,162637,CH1011701234500000000000002106445,522184,True,False,2021-12-21,True,True,2,5614,AG
865899,93740,CH1011701234500000000000002106229,521956,True,False,2021-11-25,True,True,1,5225,AG
592509,,,,True,False,2021-09-21,True,False,2,5034,AG
742993,131646,CH1011701234500000000000000588071,356510,False,True,,False,True,1,4317,AG
896592,152736,CH1011701234500000000000002105072,520775,False,True,,True,True,1,4313,AG
738793,168959,CH1011701234500000000000002105377,521088,False,True,,True,True,2,5070,AG
591191,,,,False,True,,False,False,1,5018,AG
152528,101195,CH1011701234500000000000002105728,521448,True,False,2021-09-02,True,True,1,5225,AG
195088,141982,CH1011701234500000000000002122253,532282,True,False,2022-09-07,True,True,2,4313,AG
733769,,,,False,True,,False,False,1,5330,AG
590480,,,,True,False,2021-12-08,True,False,2,5210,AG
806207,98200,CH1011701234500000000000002106438,522171,True,False,2021-10-20,True,True,3,5225,AG
714489,147351,CH1011701234500000000000002106264,521992,True,False,2021-12-03,True,True,1,4313,AG
589903,,,,False,True,,False,False,1,5036,AG
143675,,,,False,True,,False,False,1,5236,AG
738516,97969,CH1011701234500000000000001632660,491448,True,False,2021-12-15,False,True,1,5225,AG
705536,128103,CH1011701234500000000000002106456,522195,True,False,2021-11-17,True,True,1,5725,AG
171901,95009,CH1011701234500000000000002106281,522010,True,False,2021-12-01,True,True,1,5304,AG
117726,54162,CH1011701234500000000000002106215,521942,True,False,,True,True,2,4310,AG
764446,131063,CH1011701234500000000000002087661,496264,False,True,,False,True,1,5707,AG
590582,,,,True,False,2022-09-07,True,False,1,5620,AG
129462,63907,CH1011701234500000000000002106776,522525,True,False,,True,True,2,5072,AG
703415,61179,CH1011701234500000000000000688200,461757,True,False,,True,True,1,4310,AG
593030,,,,True,False,2022-04-06,True,False,1,5242,AG
572795,,,,True,False,2022-02-21,True,False,2,4813,AG
594108,,,,True,False,2021-11-15,True,False,1,5430,AG
164222,65427,CH1011701234500000000000002120051,530057,True,False,,True,True,2,8962,AG
198827,90815,CH1011701234500000000000002121980,532022,True,False,2022-10-12,True,True,1,5225,AG
589133,,,,False,True,,False,False,1,4658,SO
726547,141983,CH1011701234500000000000000550961,393275,False,True,,True,True,1,5107,AG
592852,,,,True,False,2024-10-10,True,False,2,5242,AG
595793,,,,False,True,,True,False,1,5036,AG
589743,,,,False,True,,False,False,1,5442,AG
594045,,,,True,False,2022-04-12,True,False,1,5033,AG
588589,,,,True,False,2022-03-30,True,False,1,5000,AG
594448,,,,True,False,,True,False,2,5042,AG
716968,160715,CH1011701234500000000000002120674,530692,False,True,,True,True,1,4315,AG
112352,56399,CH1011701234500000000000002107057,522821,True,False,,True,True,2,5105,AG
595906,,,,True,False,2022-03-16,True,False,2,8964,AG
595907,,,,False,True,,True,False,1,8964,AG
596018,,,,True,False,2022-08-09,True,False,2,5233,AG
596019,,,,True,False,2022-01-11,True,False,4,5728,AG
586141,,,,True,False,,True,False,1,5443,AG
553509,136016,CH1011701234500000000000002106992,522731,False,True,,True,True,1,4313,AG
745455,,,,False,True,,False,False,1,5616,AG
594211,,,,True,False,2022-05-19,True,False,3,5415,AG
178475,,,,False,True,,True,False,1,5621,AG
592761,,,,True,False,2022-02-17,False,False,1,5028,AG
596456,,,,True,False,,False,False,1,5722,AG
593131,,,,True,False,2022-05-04,True,False,1,4310,AG
591712,,,,True,False,2025-05-27,True,False,2,5200,AG
909237,,,,True,False,2019-11-28,True,False,1,5620,AG
596760,,,,True,False,2022-04-19,True,False,2,4657,SO
594446,,,,True,False,2022-02-03,True,False,1,5022,AG
727903,141484,CH1011701234500000000000002107205,522981,True,False,,True,True,1,5707,AG
145791,,,,True,False,2022-03-14,True,False,1,4332,AG
591100,,,,False,True,,True,False,1,5213,AG
593820,,,,True,False,2022-09-08,True,False,1,5432,AG
596934,,,,True,False,2022-09-08,True,False,1,5432,AG
716143,96737,CH1011701234500000000000002106395,522127,False,True,,True,True,2,4303,AG
594027,,,,False,True,,True,False,1,5034,AG
716735,58291,CH1011701234500000000000002120680,530700,True,False,,True,True,2,5443,AG
596967,,,,False,True,,False,False,1,5000,AG
723980,,,,True,False,2022-02-10,True,False,1,4312,AG
593387,,,,True,False,2022-04-14,True,False,1,5712,AG
16976,,,,True,False,2022-04-19,True,False,1,5432,AG
595711,,,,False,False,,True,False,2,8962,AG
594002,,,,True,False,2022-09-19,True,False,1,5035,AG
203398,,,,True,False,,True,False,1,5610,AG
694066,149167,CH1011701234500000000000002120308,530323,True,False,2022-03-16,True,True,2,5707,AG
593365,,,,True,False,2022-06-30,True,False,1,5103,AG
595302,,,,True,False,2022-11-24,True,False,3,5400,AG
593014,,,,True,False,2022-09-20,True,False,2,5236,AG
580281,,,,False,True,,True,False,1,5070,AG
750388,147257,CH1011701234500000000000002120643,530664,True,False,,True,True,2,5107,AG
577018,,,,True,False,2022-04-11,True,False,1,5600,AG
703976,,,,True,False,2022-05-20,True,False,1,5070,AG
589123,,,,True,False,,False,False,3,5014,SO
131436,154629,CH1011701234500000000000002120129,530150,True,False,2022-02-09,True,True,1,4313,AG
131436,124797,CH1011701234500000000000000601020,472301,True,False,2022-02-09,True,True,1,4313,AG
564900,,,,True,False,2022-05-04,True,False,1,5024,AG
593829,170123,CH1011701234500000000000002134114,545986,True,False,2022-08-16,True,False,1,5425,AG
595636,,,,True,False,2022-05-31,True,False,1,5076,AG
597714,,,,True,False,2022-03-23,True,False,2,5073,AG
594402,,,,True,False,2022-05-16,True,False,1,5412,AG
590937,,,,True,False,2022-10-03,True,False,2,5512,AG
142012,92041,CH1011701234500000000000000517822,386933,False,True,,False,True,1,5074,AG
785531,102128,CH1011701234500000000000000575415,441118,False,True,,False,True,1,5622,AG
175213,64806,CH1011701234500000000000002122702,532739,False,True,,True,True,1,5313,AG
735680,,,,True,False,2022-06-02,True,False,1,4323,AG
181978,,,,True,False,2022-09-22,True,False,2,4323,AG
212758,,,,True,False,2022-07-28,True,False,1,5722,AG
691339,138577,CH1011701234500000000000002121022,531054,True,False,2023-09-07,True,True,1,4317,AG
131447,,,,False,True,,False,False,1,5442,AG
212714,,,,False,True,,True,False,2,4665,AG
109103,167809,CH1011701234500000000000002122744,532781,False,True,,False,True,1,5322,AG
109103,167808,CH1011701234500000000000000594078,465056,False,True,,False,True,1,5322,AG
595990,,,,True,False,2022-10-21,True,False,3,5033,AG
743335,156525,CH1011701234500000000000002120837,530865,True,False,,True,True,1,5314,AG
153783,82232,CH1011701234500000000000002123021,533065,True,False,2022-09-21,True,True,2,5619,AG
596691,,,,True,False,2022-09-02,True,False,1,5610,AG
192082,163386,CH1011701234500000000000000555972,390034,True,False,,True,True,1,5620,AG
213106,,,,False,True,,True,False,1,5420,AG
595391,,,,True,False,2022-11-03,True,False,1,4665,AG
213113,,,,True,False,2022-11-02,True,False,2,4653,SO
155734,,,,False,True,,True,False,1,5073,AG
213052,,,,False,True,,False,False,1,5033,AG
178529,,,,True,False,2022-07-06,True,False,2,5621,AG
163954,109854,CH1011701234500000000000002121569,531605,True,False,2022-04-04,True,True,1,4322,AG
596167,,,,True,False,2023-01-24,True,False,2,4665,AG
711145,96814,CH1011701234500000000000002121722,531753,True,False,2022-07-20,True,True,1,4303,AG
705057,147894,CH1011701234500000000000002120839,530867,False,True,,True,True,1,4317,AG
705057,147895,CH1011701234500000000000002123645,533698,False,True,,True,True,1,4317,AG
151970,116783,CH1011701234500000000000002122091,532125,True,False,2022-07-27,True,True,1,5306,AG
723437,75923,CH1011701234500000000000002121836,531873,True,False,2022-11-08,True,True,1,4310,AG
213274,,,,False,True,,True,False,1,4852,AG
696616,,,,True,False,2022-04-04,True,False,1,5070,AG
596437,,,,False,True,,True,False,1,4657,SO
728322,,,,False,True,,False,False,1,5707,AG
909745,,,,True,False,2022-12-20,True,False,1,4803,AG
145326,86955,CH1011701234500000000000002122230,532259,False,True,,True,True,1,5426,AG
596257,,,,True,False,2022-11-22,True,False,1,4665,AG
596313,,,,True,False,2022-12-22,True,False,2,4852,AG
692112,65290,CH1011701234500000000000002120873,530901,True,False,,True,True,2,8962,AG
692112,66549,CH1011701234500000000000000608022,481498,True,False,,True,True,2,8962,AG
146807,69791,CH1011701234500000000000002123666,533720,True,False,2023-01-10,True,True,1,5106,AG
213683,,,,True,False,2022-09-22,True,False,1,5024,AG
702332,,,,False,True,,False,False,1,5304,AG
884000,147142,CH1011701234500000000000002121937,531979,True,False,,True,True,1,5107,AG
733114,125644,CH1011701234500000000000002120836,530864,False,True,,True,True,1,4317,AG
213700,,,,False,True,,False,False,1,5610,AG
152557,169451,CH1011701234500000000000002121016,531048,True,False,2022-12-13,True,False,1,5070,AG
702339,95385,CH1011701234500000000000002098062,513631,False,True,,False,True,1,5304,AG
702339,95357,CH1011701234500000000000000548765,389286,False,True,,False,True,1,5304,AG
129447,79415,CH1011701234500000000000002121577,531613,True,False,2023-04-11,True,True,2,5072,AG
740230,60065,CH1011701234500000000000002121379,531413,True,False,2023-06-23,True,True,1,8962,AG
213711,,,,True,False,2022-05-17,True,False,2,5024,AG
898693,110283,CH1011701234500000000000002122085,532119,False,True,,True,True,1,5504,AG
821268,120966,CH1011701234500000000000000611062,483544,False,True,,False,True,1,4303,AG
595118,,,,False,True,,False,False,1,4800,AG
134309,,,,True,False,2023-02-22,True,False,1,5312,AG
693106,106336,CH1011701234500000000000002123702,533756,True,False,2022-12-20,True,True,1,5706,AG
693106,106335,CH1011701234500000000000002120294,530309,True,False,2022-12-20,True,True,1,5706,AG
693106,106333,CH1011701234500000000000000516051,356658,True,False,2022-12-20,True,True,1,5706,AG
748977,106334,CH1011701234500000000000000525217,356664,True,False,2022-12-20,True,True,1,5706,AG
723937,120634,CH1011701234500000000000002121370,531404,True,False,2022-11-09,True,True,1,5235,AG
593403,,,,False,True,,True,False,1,5430,AG
127600,120790,CH1011701234500000000000002121005,531036,True,False,2022-12-14,True,True,2,5235,AG
697434,131712,CH1011701234500000000000002123203,533251,True,False,2022-12-16,True,True,1,5108,AG
214149,,,,True,False,2026-06-16,True,False,2,5420,AG
136557,153288,CH1011701234500000000000002125575,535818,True,False,2023-05-10,True,True,2,4325,AG
821251,120967,CH1011701234500000000000000611102,483589,False,True,,False,True,1,4303,AG
187258,66613,CH1011701234500000000000002123182,533230,True,False,2022-11-30,True,True,1,5106,AG
751926,69997,CH1011701234500000000000002123737,533792,True,False,,True,True,1,8962,AG
214379,,,,True,False,2023-02-09,True,False,1,5525,AG
707738,76690,CH1011701234500000000000002121809,531843,False,True,,True,True,1,5443,AG
707738,36783,CH1011701234500000000000000587675,416061,False,True,,True,True,1,5443,AG
900492,,,,True,False,2023-05-02,True,False,1,5000,AG
596414,,,,True,False,2023-05-02,True,False,1,8967,AG
900752,,,,True,False,2022-12-09,True,False,1,5200,AG
591571,101874,CH1011701234500000000000002130465,541335,True,False,2024-06-27,True,True,2,5426,AG
148705,,,,True,False,2022-12-19,True,False,1,4314,AG
713578,138044,CH1011701234500000000000002122434,532469,True,False,2022-09-04,True,True,1,4313,AG
842115,,,,True,False,2022-08-15,True,False,1,4323,AG
902436,,,,True,False,2023-09-11,True,False,1,5624,AG
596361,,,,False,False,,True,False,3,5242,AG
159508,,,,False,True,,True,False,1,4805,AG
214501,,,,True,False,,True,False,1,5035,AG
595809,,,,True,False,2023-05-24,True,False,1,5626,AG
902449,,,,False,True,,False,False,1,5737,AG
214609,,,,False,True,,False,False,1,4313,AG
902489,,,,True,False,2023-06-30,True,False,1,5018,AG
214745,,,,True,False,2022-11-15,True,False,2,5430,AG
900371,,,,True,False,,True,False,2,5107,AG
719912,120725,CH1011701234500000000000002122721,532758,True,False,2023-05-30,True,True,1,5235,AG
148105,,,,True,False,2023-05-11,True,False,2,4314,AG
776146,53431,CH1011701234500000000000000582032,365888,False,True,,False,True,1,5452,AG
214910,,,,True,False,2022-12-14,True,False,2,4800,AG
749729,,,,True,False,2022-12-13,True,False,1,5616,AG
759548,65289,CH1011701234500000000000002122759,532796,True,False,2023-01-24,True,True,1,8962,AG
902701,,,,False,True,,False,False,1,5102,AG
118609,150083,CH1011701234500000000000002124480,534578,True,False,2023-04-06,True,True,2,5607,AG
118609,96945,CH1011701234500000000000000596399,467423,True,False,2023-04-06,True,True,2,5607,AG
710494,161858,CH1011701234500000000000002127821,538106,True,False,2023-08-23,True,True,1,4312,AG
902830,,,,True,False,,True,False,3,5032,AG
902831,,,,True,False,2023-10-25,True,False,2,8957,AG
735831,160102,CH1011701234500000000000002124399,534495,True,False,2023-06-05,True,True,1,4333,AG
155412,,,,True,False,2023-06-29,True,False,2,8967,AG
901003,,,,True,False,2023-03-14,True,False,1,5043,AG
215500,,,,False,True,,True,False,1,4323,AG
215740,,,,True,False,2023-07-14,True,False,1,5000,AG
215442,,,,False,True,,True,False,1,5000,AG
160111,,,,False,True,,False,False,1,4805,AG
215605,,,,False,True,,False,False,1,5023,AG
900382,,,,True,False,2023-06-06,True,False,1,4312,AG
215480,117270,CH1011701234500000000000002124896,535001,False,True,,True,True,1,5504,AG
749221,,,,True,False,2023-04-05,True,False,1,5616,AG
215492,,,,True,False,2023-07-07,True,False,2,5033,AG
900905,,,,True,False,2023-04-24,True,False,1,5024,AG
215676,,,,False,True,,False,False,1,4852,AG
215697,,,,True,False,2023-09-27,True,False,1,5742,AG
694753,149575,CH1011701234500000000000002122637,532674,True,False,2025-11-18,False,True,2,5620,AG
215731,,,,True,False,2023-08-24,True,False,2,5430,AG
745424,135709,CH1011701234500000000000002123827,533891,True,False,2023-06-05,True,True,2,5027,AG
174453,87853,CH1011701234500000000000002124142,534217,True,False,2023-04-18,True,True,1,5706,AG
215929,168217,CH1011701234500000000000002136045,548848,False,True,,True,True,1,5724,AG
750496,171818,CH1011701234500000000000002127485,537765,False,True,,True,False,1,4315,AG
692971,80353,CH1011701234500000000000000558690,355005,False,True,,False,True,2,5244,AG
143664,,,,True,False,2023-02-02,True,False,1,4312,AG
900686,,,,True,False,,True,False,1,5036,AG
889825,,,,True,False,,True,False,1,5620,AG
596391,,,,False,True,,True,False,1,5116,AG
